Season Start,Season End,Team,OPP_PTS,Salary,Salary w/ Inflation
2008,2009,Washington Wizards,103.5,70743317.0,82811524.0
2009,2010,Washington Wizards,101.0,73440274.0,87212893.0
2010,2011,Washington Wizards,104.7,58324988.0,68540981.0
2011,2012,Washington Wizards,98.4,55386345.0,62850863.0
2012,2013,Washington Wizards,95.8,59715539.0,66654386.0
2013,2014,Washington Wizards,99.4,64698822.0,70971580.0
2014,2015,Washington Wizards,97.8,73372974.0,78852628.0
2015,2016,Washington Wizards,104.6,85055155.0,91294262.0
2016,2017,Washington Wizards,107.4,104016580.0,110544093.0
2017,2018,Washington Wizards,106.0,123306396.0,128938245.0
