Season Start,Season End,Team,player_height,Salary,Salary w/ Inflation
2010,2011,Utah Jazz,3241.0399999999995,75855296.0,89141843.0
2011,2012,Utah Jazz,2989.58,58178016.0,66018776.0
2012,2013,Utah Jazz,2799.0800000000004,65657569.0,73286873.0
2013,2014,Utah Jazz,3403.6,56911999.0,62429802.0
2014,2015,Utah Jazz,3215.64,60847538.0,65391761.0
2015,2016,Utah Jazz,3235.96,63608425.0,68274335.0
2016,2017,Utah Jazz,3027.6800000000003,80138192.0,85167228.0
2017,2018,Utah Jazz,3987.7999999999997,105606838.0,110430283.0
2008,2009,Washington Wizards,3037.8399999999997,70743317.0,82811524.0
2009,2010,Washington Wizards,3578.8599999999997,73440274.0,87212893.0
2010,2011,Washington Wizards,3431.54,58324988.0,68540981.0
2011,2012,Washington Wizards,3639.82,55386345.0,62850863.0
2012,2013,Washington Wizards,2834.64,59715539.0,66654386.0
2013,2014,Washington Wizards,3032.76,64698822.0,70971580.0
2014,2015,Washington Wizards,3208.0199999999995,73372974.0,78852628.0
2015,2016,Washington Wizards,3411.2200000000003,85055155.0,91294262.0
2016,2017,Washington Wizards,3418.8399999999997,104016580.0,110544093.0
2017,2018,Washington Wizards,3017.5200000000004,123306396.0,128938245.0
