Season Start,Season End,Team,GP,W,L,WIN%,Salary,Salary w/ Inflation
2010,2011,Memphis Grizzlies,82,46,36,0.561,70241344.0,82544566.0
2011,2012,Memphis Grizzlies,66,41,25,0.621,70628007.0,80146672.0
2012,2013,Memphis Grizzlies,82,56,26,0.6829999999999999,63054115.0,70380900.0
2013,2014,Memphis Grizzlies,82,50,32,0.61,71992885.0,78972831.0
2014,2015,Memphis Grizzlies,82,55,27,0.6709999999999999,75158730.0,80771746.0
2015,2016,Memphis Grizzlies,82,42,40,0.512,83223881.0,89328654.0
2016,2017,Memphis Grizzlies,82,43,39,0.524,110083520.0,116991763.0
2017,2018,Memphis Grizzlies,82,22,60,0.268,110700149.0,115756221.0
2008,2009,Miami Heat,82,43,39,0.524,70297059.0,82289138.0
2009,2010,Miami Heat,82,47,35,0.573,74208013.0,88124608.0
2010,2011,Miami Heat,82,58,24,0.7070000000000001,66205855.0,77802235.0
2011,2012,Miami Heat,66,46,20,0.6970000000000001,75469639.0,85640823.0
2012,2013,Miami Heat,82,66,16,0.805,80427933.0,89773532.0
2013,2014,Miami Heat,82,54,28,0.659,80841617.0,88679476.0
2014,2015,Miami Heat,82,37,45,0.451,75813041.0,81474926.0
2015,2016,Miami Heat,82,48,34,0.585,85764781.0,92055943.0
2016,2017,Miami Heat,82,41,41,0.5,100740770.0,107062710.0
2017,2018,Miami Heat,82,44,38,0.537,133624374.0,139727484.0
2008,2009,Milwaukee Bucks,82,34,48,0.415,71360656.0,83534178.0
2009,2010,Milwaukee Bucks,82,46,36,0.561,66775602.0,79298360.0
2010,2011,Milwaukee Bucks,82,35,47,0.42700000000000005,69076690.0,81175915.0
2011,2012,Milwaukee Bucks,66,31,35,0.47,60192388.0,68304625.0
2012,2013,Milwaukee Bucks,82,38,44,0.46299999999999997,62410041.0,69661986.0
2013,2014,Milwaukee Bucks,82,15,67,0.183,54400846.0,59675181.0
2014,2015,Milwaukee Bucks,82,41,41,0.5,54473275.0,58541453.0
2015,2016,Milwaukee Bucks,82,33,49,0.402,73843541.0,79260236.0
2016,2017,Milwaukee Bucks,82,42,40,0.512,96245877.0,102285744.0
2017,2018,Milwaukee Bucks,82,44,38,0.537,120521249.0,126025887.0
2008,2009,Minnesota Timberwolves,82,24,58,0.293,66445144.0,77780119.0
2009,2010,Minnesota Timberwolves,82,15,67,0.183,62253360.0,73928037.0
2010,2011,Minnesota Timberwolves,82,17,65,0.207,53461123.0,62825180.0
2011,2012,Minnesota Timberwolves,66,26,40,0.39399999999999996,56844339.0,64505355.0
2012,2013,Minnesota Timberwolves,82,31,51,0.37799999999999995,64329748.0,71804760.0
2013,2014,Minnesota Timberwolves,82,40,42,0.488,68564040.0,75211546.0
2014,2015,Minnesota Timberwolves,82,16,66,0.195,69378954.0,74560321.0
2015,2016,Minnesota Timberwolves,82,29,53,0.354,72287243.0,77589778.0
2016,2017,Minnesota Timberwolves,82,31,51,0.37799999999999995,83527580.0,88769315.0
2017,2018,Minnesota Timberwolves,82,47,35,0.573,116075131.0,121376702.0
2008,2009,New Orleans Hornets,82,49,33,0.598,67530808.0,79050989.0
2009,2010,New Orleans Hornets,82,37,45,0.451,70163827.0,83321997.0
2010,2011,New Orleans Hornets,82,46,36,0.561,68230729.0,80181781.0
2011,2012,New Orleans Hornets,66,21,45,0.318,65441008.0,74260613.0
2012,2013,New Orleans Hornets,82,27,55,0.32899999999999996,64134537.0,71586865.0
2013,2014,New Orleans Pelicans,82,34,48,0.415,67358651.0,73889290.0
2014,2015,New Orleans Pelicans,82,45,37,0.5489999999999999,80012866.0,85988398.0
2015,2016,New Orleans Pelicans,82,30,52,0.366,83709371.0,89849758.0
2016,2017,New Orleans Pelicans,82,34,48,0.415,101616451.0,107993343.0
2017,2018,New Orleans Pelicans,82,48,34,0.585,120814452.0,126332484.0
2008,2009,New York Knicks,82,32,50,0.39,96643646.0,113130233.0
2009,2010,New York Knicks,82,29,53,0.354,85710076.0,101783713.0
2010,2011,New York Knicks,82,42,40,0.512,67016562.0,78754945.0
2011,2012,New York Knicks,66,36,30,0.545,77093212.0,87483210.0
2012,2013,New York Knicks,82,54,28,0.659,79977119.0,89270334.0
2013,2014,New York Knicks,82,37,45,0.451,89072787.0,97708684.0
2014,2015,New York Knicks,82,17,65,0.207,81369219.0,87446049.0
2015,2016,New York Knicks,82,32,50,0.39,74237021.0,79682579.0
2016,2017,New York Knicks,82,31,51,0.37799999999999995,102593418.0,109031624.0
2017,2018,New York Knicks,82,29,53,0.354,105403130.0,110217272.0
2008,2009,Oklahoma City Thunder,82,23,59,0.28,68341605.0,80000097.0
2009,2010,Oklahoma City Thunder,82,50,32,0.61,58578614.0,69564148.0
2010,2011,Oklahoma City Thunder,82,55,27,0.6709999999999999,55922488.0,65717669.0
2011,2012,Oklahoma City Thunder,66,47,19,0.7120000000000001,59501709.0,67520863.0
2012,2013,Oklahoma City Thunder,82,60,22,0.732,68924100.0,76932970.0
2013,2014,Oklahoma City Thunder,82,59,23,0.72,71653401.0,78600431.0
2014,2015,Oklahoma City Thunder,82,45,37,0.5489999999999999,80408520.0,86413604.0
2015,2016,Oklahoma City Thunder,82,55,27,0.6709999999999999,95708387.0,102728953.0
2016,2017,Oklahoma City Thunder,82,47,35,0.573,91230089.0,96955191.0
2017,2018,Oklahoma City Thunder,82,48,34,0.585,134534640.0,140679326.0
2008,2009,Orlando Magic,82,59,23,0.72,69672979.0,81558597.0
2009,2010,Orlando Magic,82,59,23,0.72,82200916.0,97616464.0
2010,2011,Orlando Magic,82,52,30,0.634,90770804.0,106669901.0
2011,2012,Orlando Magic,66,37,29,0.561,87955505.0,99809433.0
2012,2013,Orlando Magic,82,20,62,0.244,66557496.0,74291370.0
2013,2014,Orlando Magic,82,23,59,0.28,56948031.0,62469324.0
2014,2015,Orlando Magic,82,25,57,0.305,59629210.0,64082446.0
2015,2016,Orlando Magic,82,35,47,0.42700000000000005,63199651.0,67835576.0
2016,2017,Orlando Magic,82,29,53,0.354,104096951.0,110629512.0
2017,2018,Orlando Magic,82,25,57,0.305,98700258.0,103208254.0
2008,2009,Philadelphia 76ers,82,41,41,0.5,68301007.0,79952578.0
2009,2010,Philadelphia 76ers,82,27,55,0.32899999999999996,64883448.0,77051362.0
2010,2011,Philadelphia 76ers,82,41,41,0.5,68915246.0,80986195.0
2011,2012,Philadelphia 76ers,66,35,31,0.53,66672368.0,75657929.0
2012,2013,Philadelphia 76ers,82,34,48,0.415,66697839.0,74448020.0
2013,2014,Philadelphia 76ers,82,19,63,0.23199999999999998,51741312.0,56757794.0
2014,2015,Philadelphia 76ers,82,18,64,0.22,54355571.0,58414953.0
2015,2016,Philadelphia 76ers,82,10,72,0.122,64583220.0,69320632.0
2016,2017,Philadelphia 76ers,82,28,54,0.341,84775343.0,90095374.0
2017,2018,Philadelphia 76ers,82,52,30,0.634,100797386.0,105401164.0
2008,2009,Phoenix Suns,82,46,36,0.561,76130408.0,89117609.0
2009,2010,Phoenix Suns,82,54,28,0.659,65288544.0,77532428.0
2010,2011,Phoenix Suns,82,40,42,0.488,65979054.0,77535711.0
2011,2012,Phoenix Suns,66,33,33,0.5,80640576.0,91508654.0
2012,2013,Phoenix Suns,82,25,57,0.305,54196264.0,60493782.0
2013,2014,Phoenix Suns,82,48,34,0.585,55569468.0,60957107.0
2014,2015,Phoenix Suns,82,39,43,0.47600000000000003,58018672.0,62351628.0
