Season,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB
2019-20,Sacramento Kings,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77,9.7
2019-20,San Antonio Spurs,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19,23.4,81,9
2019-20,Toronto Raptors,112.8,40.2,87.9,45.8,13.8,37,37.4,18.5,23.2,79.6,9.5
2019-20,Utah Jazz,111.3,40.1,85.1,47.1,13.4,35.2,38,17.8,22.8,77.9,9.1
2019-20,Washington Wizards,114.4,41.5,90.9,45.7,12,32.6,36.8,19.4,24.6,78.8,10.2
2018-19,Washington Wizards,114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7
2018-19,Utah Jazz,111.7,40.4,86.4,46.8,12.1,34,35.6,18.8,25.5,73.6,10
2018-19,Toronto Raptors,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6
2018-19,San Antonio Spurs,111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21,81.9,9.2
2018-19,Sacramento Kings,114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11
2018-19,Portland Trail Blazers,114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8
2018-19,Phoenix Suns,107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1
2018-19,Philadelphia 76ers,115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9
2018-19,Orlando Magic,107.3,40.4,89.1,45.4,11.4,32.1,35.6,15,19.2,78.2,10
2018-19,Oklahoma City Thunder,114.5,42.6,94,45.4,11.4,32.6,34.8,17.8,25,71.3,12.6
2018-19,New York Knicks,104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5
2018-19,New Orleans Pelicans,115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1
2018-19,Minnesota Timberwolves,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3
2018-19,Milwaukee Bucks,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3
2018-19,Miami Heat,105.7,39.6,88,45,11.3,32.4,34.9,15.1,21.7,69.5,11.2
2018-19,Memphis Grizzlies,103.5,38,84.4,45,9.9,28.9,34.2,17.7,23,77.2,8.8
2018-19,Los Angeles Lakers,111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2
2018-19,LA Clippers,115.1,41.3,87.5,47.1,10,25.8,38.8,22.6,28.5,79.2,9.7
2018-19,Indiana Pacers,108,41.3,87,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3
2018-19,Houston Rockets,113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2
2018-19,Golden State Warriors,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7
2018-19,Detroit Pistons,107,38.8,88.3,44,12.1,34.8,34.8,17.3,23.1,74.7,11.4
2018-19,Denver Nuggets,110.7,41.9,90,46.6,11,31.4,35.1,15.8,20.9,75.5,11.9
2018-19,Dallas Mavericks,108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1
2018-19,Cleveland Cavaliers,104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7
2018-19,Chicago Bulls,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8
2018-19,Charlotte Hornets,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9
2018-19,Brooklyn Nets,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19,25.5,74.5,11
2018-19,Boston Celtics,112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8
2018-19,Atlanta Hawks,113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6
2017-18,Atlanta Hawks,103.4,38.2,85.5,44.6,11.2,31,36,15.8,20.2,78.5,9.1
2017-18,Boston Celtics,104,38.3,85.1,45,11.5,30.4,37.7,16,20.7,77.1,9.4
2017-18,Brooklyn Nets,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7
2017-18,Charlotte Hornets,108.2,39,86.7,45,10,27.2,36.9,20.2,27,74.7,10.1
2017-18,Chicago Bulls,102.9,38.7,88.8,43.5,11,31.1,35.5,14.6,19.2,75.9,9.6
2017-18,Cleveland Cavaliers,110.9,40.4,84.8,47.6,12,32.1,37.2,18.1,23.3,77.9,8.5
2017-18,Dallas Mavericks,102.3,38.1,85.9,44.4,11.8,32.8,36,14.2,18.7,76.3,8.1
2017-18,Denver Nuggets,110,40.7,86.6,47,11.5,30.9,37.1,17.1,22.3,76.7,11
2017-18,Detroit Pistons,103.8,39.1,86.9,45,10.8,28.9,37.3,14.7,19.8,74.5,10.1
2017-18,Golden State Warriors,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4
2017-18,Houston Rockets,112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9
